,adult,old,young
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0,0.147,0.674
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.024,0.272,0.106
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0,0.034,0.005
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.789,0.205,0.243
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0,0.003,0.028
KEGG_GALACTOSE_METABOLISM,0,0,0.639
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,1,1,1
KEGG_FATTY_ACID_METABOLISM,0.085,0,0.104
KEGG_STEROID_BIOSYNTHESIS,0.355,0.89,0.68
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,1,0.1,0.988
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.253,0.05,0.963
KEGG_OXIDATIVE_PHOSPHORYLATION,1,1,1
KEGG_PURINE_METABOLISM,0.378,0.11,0.002
KEGG_PYRIMIDINE_METABOLISM,0.677,0.96,0.004
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.993,0.794,0.447
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.999,0.563,0.921
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.103,0.577,0.07
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.087,0.007,0.535
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.129,0.006,0.094
KEGG_LYSINE_DEGRADATION,0.788,0,0.959
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.989,0.865,0.977
KEGG_HISTIDINE_METABOLISM,0.627,0.279,0
KEGG_TYROSINE_METABOLISM,0.943,1,0.98
KEGG_PHENYLALANINE_METABOLISM,1,1,1
KEGG_TRYPTOPHAN_METABOLISM,0.014,0.034,0.996
KEGG_BETA_ALANINE_METABOLISM,0.826,0.112,0.128
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,1,1,1
KEGG_SELENOAMINO_ACID_METABOLISM,0.71,0.209,0.557
KEGG_GLUTATHIONE_METABOLISM,0.243,0.693,0.8
KEGG_STARCH_AND_SUCROSE_METABOLISM,0,0,0.116
KEGG_N_GLYCAN_BIOSYNTHESIS,0.035,0,0.03
KEGG_OTHER_GLYCAN_DEGRADATION,0.256,0.001,0.822
KEGG_O_GLYCAN_BIOSYNTHESIS,0.997,0.947,0.161
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.996,0,0.63
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,1,0.442,0.972
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,1,1,1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.999,1,1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.998,0.972,1
KEGG_GLYCEROLIPID_METABOLISM,0.932,0.474,0.804
KEGG_INOSITOL_PHOSPHATE_METABOLISM,1,1,1
