,human,mouse
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.549931601,0.84082535
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.715458276,0.254974208
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.664842681,0.722918202
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.299589603,0.13633014
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.553351573,0.712601326
KEGG_GALACTOSE_METABOLISM,0.062927497,0.131171702
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.286593707,0.116433309
KEGG_FATTY_ACID_METABOLISM,0.528043776,0.630066323
KEGG_STEROID_BIOSYNTHESIS,0.158002736,0.216654385
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.077975376,0.050110538
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.240766074,0.18201916
KEGG_OXIDATIVE_PHOSPHORYLATION,0.201778386,0.793662491
KEGG_PURINE_METABOLISM,0.662106703,0.714812085
KEGG_PYRIMIDINE_METABOLISM,0.359097127,0.77302874
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.316005472,0.061901253
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.498632011,0.078850405
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.257865937,0.198231393
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.651162791,0.766396463
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.11627907,0.049373618
KEGG_LYSINE_DEGRADATION,0.392612859,0.482682388
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.815321477,0.418570376
KEGG_HISTIDINE_METABOLISM,0.278385773,0.450994842
KEGG_TYROSINE_METABOLISM,0.338577291,0.633014001
KEGG_PHENYLALANINE_METABOLISM,0.304377565,0.563006632
KEGG_TRYPTOPHAN_METABOLISM,0.099863201,0.497420781
KEGG_BETA_ALANINE_METABOLISM,0.138850889,0.420044215
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.006839945,0.018422992
KEGG_SELENOAMINO_ACID_METABOLISM,0.04377565,0.043478261
KEGG_GLUTATHIONE_METABOLISM,0.743502052,0.815770081
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.076607387,0.081798084
KEGG_N_GLYCAN_BIOSYNTHESIS,0.706566347,0.117170228
KEGG_OTHER_GLYCAN_DEGRADATION,0.056087551,0.101694915
KEGG_O_GLYCAN_BIOSYNTHESIS,0.108071135,0.002947679
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.808481532,0.109801032
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.038303694,0.04642594
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.045827633,0.058216654
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.094391245,0.047162859
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.025991792,0.012527634
KEGG_GLYCEROLIPID_METABOLISM,0.409028728,0.461311717
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.424076607,0.61459101
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.070451436,0.114959469
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.247606019,0.217391304
KEGG_ETHER_LIPID_METABOLISM,0.071135431,0.183492999
KEGG_ARACHIDONIC_ACID_METABOLISM,0.361833105,0.663964628
KEGG_LINOLEIC_ACID_METABOLISM,0.110123119,0.039056743
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.044459644,0.024318349
KEGG_SPHINGOLIPID_METABOLISM,0.043091655,0.124539425
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.086183311,0.033161385
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.116963064,0.043478261
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.029411765,0.0449521
KEGG_PYRUVATE_METABOLISM,0.682626539,0.802505527
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.23119015,0.451731761
KEGG_PROPANOATE_METABOLISM,0.790697674,0.742815033
KEGG_BUTANOATE_METABOLISM,0.39876881,0.70449521
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.450752394,0.041267502
KEGG_RIBOFLAVIN_METABOLISM,0.056087551,0.255711127
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.495896033,0.195283714
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.19630643,0.057479735
KEGG_FOLATE_BIOSYNTHESIS,0.065663475,0.255711127
KEGG_RETINOL_METABOLISM,0.124487004,0.314664702
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.610123119,0.601326455
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.246922025,0.241709654
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0.134746922,0.290346352
KEGG_NITROGEN_METABOLISM,0.339261286,0.063375092
KEGG_SULFUR_METABOLISM,0.048563611,0.018422992
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.812585499,0.039056743
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.831053352,0.652173913
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.827633379,0.650700074
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.212722298,0.283714075
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.106019152,0.507000737
KEGG_ABC_TRANSPORTERS,0.010943912,0.004421518
KEGG_RIBOSOME,0.23119015,0.274871039
KEGG_RNA_DEGRADATION,0.841997264,0.47826087
KEGG_RNA_POLYMERASE,0.555403557,0.724392041
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.487004104,0.465733235
KEGG_DNA_REPLICATION,0.437756498,0.605747973
KEGG_SPLICEOSOME,0.534883721,0.25055269
KEGG_PROTEASOME,0.249658003,0.551215917
KEGG_PROTEIN_EXPORT,0.192202462,0.123802506
KEGG_PPAR_SIGNALING_PATHWAY,0.848837209,0.241709654
KEGG_BASE_EXCISION_REPAIR,0.313269494,0.441414886
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.838577291,0.670596905
KEGG_MISMATCH_REPAIR,0.41997264,0.490051584
KEGG_HOMOLOGOUS_RECOMBINATION,0.584131327,0.460574797
KEGG_NON_HOMOLOGOUS_END_JOINING,0.078659371,0.055268976
KEGG_MAPK_SIGNALING_PATHWAY,0.487004104,0.59100958
KEGG_ERBB_SIGNALING_PATHWAY,0.849521204,0.196757553
KEGG_CALCIUM_SIGNALING_PATHWAY,0.753077975,0.791451732
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.497264022,0.050110538
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.358413133,0.186440678
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.794117647,0.75018423
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.124487004,0.037582903
KEGG_CELL_CYCLE,0.402872777,0.088430361
KEGG_OOCYTE_MEIOSIS,0.010943912,0.040530582
KEGG_P53_SIGNALING_PATHWAY,0.850205198,0.09064112
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.261969904,0.396462786
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.126538988,0.554900516
KEGG_REGULATION_OF_AUTOPHAGY,0.019835841,0.602800295
KEGG_LYSOSOME,0.236662107,0.441414886
KEGG_ENDOCYTOSIS,0.776333789,0.020633751
KEGG_PEROXISOME,0.343365253,0.529108327
KEGG_MTOR_SIGNALING_PATHWAY,0.012995896,0.698599853
KEGG_APOPTOSIS,0.844733242,0.501842299
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.073187415,0.733235077
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.632694938,0.697126013
KEGG_WNT_SIGNALING_PATHWAY,0.378932969,0.058216654
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.239398085,0.127487104
KEGG_NOTCH_SIGNALING_PATHWAY,0.219562244,0.367722918
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.066347469,0.156226971
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.777701778,0.736919676
KEGG_AXON_GUIDANCE,0.789329685,0.756816507
KEGG_VEGF_SIGNALING_PATHWAY,0.816005472,0.473102432
KEGG_FOCAL_ADHESION,0.849521204,0.030950626
KEGG_ECM_RECEPTOR_INTERACTION,0.084131327,0.142225497
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.120383037,0.147383935
KEGG_ADHERENS_JUNCTION,0.759233926,0.265291083
KEGG_TIGHT_JUNCTION,0.770861833,0.571849668
KEGG_GAP_JUNCTION,0.517099863,0.774502579
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.737346101,0.45394252
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.148426813,0.099484156
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.136798906,0.164333088
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.603967168,0.56890199
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.417920657,0.742815033
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.79753762,0.291083272
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.286593707,0.165070007
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.845417237,0.002210759
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.285225718,0.175386883
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.813269494,0.540899042
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.560875513,0.417833456
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.794801642,0.261606485
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.772229822,0.553426676
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.639534884,0.812822402
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.617647059,0.717759764
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.564295486,0.289609433
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.103283174,0.085482682
KEGG_LONG_TERM_POTENTIATION,0.460328317,0.765659543
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.830369357,0.305821665
KEGG_LONG_TERM_DEPRESSION,0.494528044,0.055268976
KEGG_OLFACTORY_TRANSDUCTION,0.431600547,0.694915254
KEGG_TASTE_TRANSDUCTION,0.081395349,0.419307296
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.016415869,0.654384672
KEGG_INSULIN_SIGNALING_PATHWAY,0.012311902,0.831982314
KEGG_GNRH_SIGNALING_PATHWAY,0.7749658,0.753868828
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.029411765,0.036109064
KEGG_MELANOGENESIS,0.679890561,0.783345615
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.537619699,0.142962417
KEGG_TYPE_II_DIABETES_MELLITUS,0.008891929,0.011790715
KEGG_TYPE_I_DIABETES_MELLITUS,0.023939808,0.007369197
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.004787962,0.016212233
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.038987688,0.082535004
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.357045144,0.778924097
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.067715458,0.275607959
KEGG_ALZHEIMERS_DISEASE,0.214774282,0.779661017
KEGG_PARKINSONS_DISEASE,0.346785226,0.815033161
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.838577291,0.736182756
