,GSM2172075,GSM2172102,GSM2172173,GSM2172352,GSM2174145,GSM2174148,GSM2174150,GSM2174151,GSM2174153,GSM2174156,GSM2174158,GSM2174161,GSM2174168,GSM2174170,GSM2174171,GSM2174172,GSM2174173,GSM2174176,GSM2174177,GSM2174182,GSM2174190,GSM2174194,GSM2174195,GSM2174196,GSM2174198,GSM2174201,GSM2174204,GSM2174205,GSM2174207,GSM2174209,GSM2174213,GSM2174215,GSM2174217,GSM2174224,GSM2174229,GSM2174231,GSM2174238,GSM2174241,GSM2174242,GSM2174247,GSM2174249,GSM2174253,GSM2174255,GSM2174259,GSM2174261,GSM2174262,GSM2174263,GSM2174265,GSM2174268,GSM2174270,GSM2174276,GSM2174281,GSM2174282,GSM2174283,GSM2174285,GSM2174289,GSM2174294,GSM2174296,GSM2174299,GSM2174305,GSM2174307,GSM2174309,GSM2174310,GSM2174313,GSM2174316,GSM2174324,GSM2174325,GSM2174326,GSM2174336,GSM2174343,GSM2174346,GSM2174347,GSM2174352,GSM2174356,GSM2174358,GSM2174359,GSM2174360,GSM2174368,GSM2174370,GSM2174376,GSM2174379,GSM2174381,GSM2174383,GSM2174386,GSM2174389,GSM2174390,GSM2174403,GSM2174406,GSM2174407,GSM2174408,GSM2174416,GSM2174417,GSM2174422
3_M_syndrome,1,0.9632,1,0.9876,1,1,1,0.8566,0.718,1,1,1,0.4118,1,0.9904,0.7946,0.867,0.9782,0.9688,1,1,0.7252,1,1,1,1,0.996,0.891,0.9744,1,1,0.1374,1,1,1,1,1,0.9826,1,1,0.6096,0.8382,1,0.00139999999999996,0.93,0.73,0.6984,1,0.9896,0.9896,0.9988,0.706,1,1,1,1,1,0.9412,0.9018,1,1,0.8046,0.978,1,0.9904,0.8898,0.716,0.983,1,1,0.4188,0.847,0.9874,1,0.9642,0.5634,1,0.9962,0.9202,1,0.965,1,0.9786,1,0.9714,0.8074,0.4426,0.9672,1,0.1108,1,1,0.7426
3_Methylcrotonyl_CoA_carboxylase_deficiency,1,0.9774,0.964,0.9174,0.8364,1,1,0.7218,0.6934,0.5278,1,1,1,1,1,0.9918,0.9496,1,1,1,1,0.0214,1,0.51,0.9694,1,1,1,1,1,0.887,1,1,1,0.1732,1,1,1,0.9624,0.0138,1,0.85,0.9776,1,1,1,1,0.7076,0.9418,1,0.0427999999999999,1,1,0.0934,0.913,1,0.4432,1,1,1,0.5188,0.6004,1,1,0.6714,1,1,0.83,1,0.9936,1,1,0.8824,1,1,0.5188,1,0.8262,1,0.6644,0.9896,0.8608,0.00180000000000002,0.8546,1,1,1,0.9396,0.6546,0.8158,1,1,1
3_methylglutaconic_aciduria,1,1,1,1,1,1,0.9996,1,0.999,1,1,1,1,1,1,1,1,1,0.9992,1,0.9986,1,0.9982,0.9998,0.9998,1,1,1,1,1,1,1,1,1,0.9998,1,0.9986,0.9998,1,0.9996,1,0.9992,0.9992,1,1,1,1,1,1,1,1,1,1,1,1,0.9994,1,0.9998,0.9998,0.9996,0.9994,1,0.9998,1,1,0.9996,1,0.9996,1,1,1,0.9998,1,0.9996,0.9998,1,1,1,1,0.9998,0.9992,0.9992,0.9338,1,0.9998,1,1,0.9996,1,1,1,0.9984,0.999
3p__syndrome,1,0.9092,0.9898,0.2274,1,0.8352,1,1,0.9766,0.5236,0.92,1,0.1752,1,0.9888,0.7122,0.7698,0.8578,0.4538,0.1962,1,1,1,1,1,0.945,0.926,0.1754,0.568,1,1,1,1,1,1,0.7796,0.3438,1,1,1,1,1,1,1,0.974,1,1,0.6072,1,1,0.8208,0.6246,0.8812,1,1,1,1,0.2642,1,0.4124,0.9836,1,1,1,0.8696,1,0.5558,0.458,0.7072,1,0.9928,0.715,0.8928,1,0.8894,1,1,0.9936,0.099,1,1,1,1,1,1,1,0.4732,0.975,0.9878,0.4436,1,1,1
46_XY_gonadal_dysgenesis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADULT_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGAT_deficiency,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARC_syndrome,1,0.0427999999999999,1,0.1664,1,0.6316,1,0.7782,1,1,1,1,0.742,1,1,0.2704,1,1,1,1,0.9762,1,1,1,1,1,0.6728,0.1798,1,0.6504,1,1,1,1,1,1,0.9978,0.7446,1,0.8078,1,1,1,1,1,1,0.011,1,1,0.9194,1,0.196,1,1,1,1,1,1,1,1,1,1,1,1,0.2584,1,1,1,0.3514,1,1,0.9198,0.2304,1,1,1,1,0.9904,0.2344,1,0.3702,1,1,1,1,1,1,0.7522,1,0.1332,1,1,1
Aarskog_Scott_syndrome,1,0.6006,1,1,0.9946,0.95,1,1,1,1,1,1,1,1,1,1,0.95,0.8302,0.587,0.9934,1,1,1,0.9962,1,1,0.9136,1,1,1,1,0.5728,1,1,0.9934,1,1,0.9964,0.7594,1,1,1,0.9964,1,0.8002,1,0.9798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9952,1,1,1,1,1,1,0.9254,1,1,1,1,1,0.996,1,1,1,1,1,1,0.9428,1,1,0.9164,0.9994,0.9962,1,0.7466,1
Abdominal_aortic_aneurysm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ablepharon_macrostomia_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acanthosis_nigricans,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0.000800000000000023,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Aceruloplasminemia,0.0188,0.1156,1,0.004,1,1,1,1,1,0.002,1,1,1,1,1,0.00119999999999998,0.000199999999999978,1,0.000199999999999978,0.0242,1,0.0572,0.0234,1,0.002,0.0476,0.000199999999999978,0.3726,1,1,1,1,1,1,0.09,1,0.00800000000000001,0.00439999999999996,1,0.00819999999999999,0.011,1,0.00119999999999998,1,1,1,0.3886,1,1,0,0.00119999999999998,1,1,1,0,1,0.8708,0.00219999999999998,0.0132,0.6264,0.000800000000000023,1,1,1,0,1,1,0.000800000000000023,1,1,0.00119999999999998,0.0116000000000001,0.000800000000000023,0.000399999999999956,0.000199999999999978,1,1,0.000199999999999978,0.212,1,0.017,0.0232,1,1,1,1,1,0.001,0.000600000000000045,0.0158,1,0.00119999999999998,0.5036
Achalasia,1,1,1,1,1,0.137,1,1,1,1,1,1,1,1,1,0.5678,0.8424,1,1,1,1,1,1,1,1,1,0.992,1,1,1,1,1,1,1,1,1,1,1,1,0.9956,1,1,1,1,1,0.9732,1,0.907,1,1,1,1,1,1,1,1,1,0.993,1,1,0.969,0.9894,1,1,0.9728,1,1,0.9778,1,1,1,1,1,1,0.9976,1,0.9906,1,1,1,1,1,1,1,1,1,1,1,1,0.9922,1,0.7874,1
Achondroplasia,1,0.9868,1,0.8624,1,0.7824,1,0.8034,1,0.947,1,1,1,1,1,0.5388,0.8788,1,1,1,0.795,0.2866,1,1,0.865,1,0.1228,1,1,1,1,1,1,1,0.0145999999999999,1,0.4168,0.3052,1,1,1,1,0.793,1,0.8128,0.8798,0.4988,1,1,0.5864,1,1,1,1,0.5496,1,1,0.2172,1,1,1,1,0.9434,1,0.1608,0.998,1,1,0.9932,1,1,1,1,1,1,1,0.034,0.803,1,1,1,1,1,1,1,1,1,1,1,0.948,1,0.9836,1
Achromatopsia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acne,0.9962,0.904,1,0.9772,0.898,0.9934,1,0.9616,1,0.9972,1,1,1,1,0.984,0.9992,0.9958,0.9994,0.986,0.919,0.9966,1,1,1,0.9962,0.9992,0.746,1,0.9954,1,0.9966,1,1,1,0.998,1,0.9994,0.9724,1,0.9864,0.9936,0.9816,0.977,1,1,0.9944,0.985,0.9986,0.999,1,0.9804,1,0.9962,1,0.9942,1,0.9768,1,0.9942,1,0.998,0.9928,1,1,0.9986,1,1,0.7676,1,1,1,1,1,0.9978,1,0.9312,1,0.9844,0.987,1,1,0.9622,1,0.9956,1,1,1,0.9966,0.9944,0.6524,1,0.9956,0.7282
Acoustic_neuroma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acquired_immunodeficiency_syndrome,0.6656,0.653,0.5274,0.4776,0.851,0.286,0.8414,0.1928,0.995,0.9402,0.2374,0.0374,0.6726,0.999,0.4326,0.7958,0.4568,0.2638,0.3464,0.7186,0.9516,0.779,0.378,0.462,0.2728,0.8318,0.0352,0.5098,0.5864,0.559,0.8454,0.9534,0.9526,0.9884,0.2362,0.4674,0.5546,0.0334,0.5144,0.9006,0.9358,0.958,0.5444,0.000399999999999956,0.0894,0.2976,0.9846,0.9526,0.922,0.8958,0.9436,0.8644,0.000199999999999978,0.9886,0.9684,0.9342,0.8254,0.3424,0.9664,0.995,0.9412,0.997,0.4294,0.886,0.1032,0.9978,0.9848,0.9812,0.9998,0.995,0.4916,0.7494,0.879,1,0.781,0.7744,0.000600000000000045,0.4044,0.9846,0.4314,0.7456,0.7106,0.044,0.3086,0.9216,0.1494,1,0.788,0.3664,0.9584,0.028,0.2484,0.104
