,human,mouse
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.029335495,-0.026313699
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.028581586,0.191852052
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.017192886,0.039044987
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.028708933,0.053516772
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.045464263,-0.02682167
KEGG_GALACTOSE_METABOLISM,0.088379343,0.183491252
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.006777983,0.081510602
KEGG_FATTY_ACID_METABOLISM,0.048890674,0.077033449
KEGG_STEROID_BIOSYNTHESIS,0.053376654,0.084338584
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.028018693,0.048481043
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.039739702,0.028424321
KEGG_OXIDATIVE_PHOSPHORYLATION,0.019041796,-0.04333716
KEGG_PURINE_METABOLISM,0.016476041,0.036987109
KEGG_PYRIMIDINE_METABOLISM,-0.033774539,0.018847304
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.047712441,0.277046495
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.005234485,0.184706844
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.05649755,0.21008006
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.029862576,0.013325269
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.042110604,0.193565756
KEGG_LYSINE_DEGRADATION,0.054923772,0.104850781
KEGG_ARGININE_AND_PROLINE_METABOLISM,-0.019286505,0.139147471
KEGG_HISTIDINE_METABOLISM,0.041612217,0.047392244
KEGG_TYROSINE_METABOLISM,0.051861969,0.025249389
KEGG_PHENYLALANINE_METABOLISM,0.03542123,0.01474361
KEGG_TRYPTOPHAN_METABOLISM,0.088983944,0.08316548
KEGG_BETA_ALANINE_METABOLISM,0.072038789,0.085776278
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.019224055,0.033641866
KEGG_SELENOAMINO_ACID_METABOLISM,0.09196385,0.250488023
KEGG_GLUTATHIONE_METABOLISM,-0.023853299,-0.030388412
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.090614922,0.205704976
KEGG_N_GLYCAN_BIOSYNTHESIS,0.027648034,0.245086114
KEGG_OTHER_GLYCAN_DEGRADATION,0.076822096,0.155377748
KEGG_O_GLYCAN_BIOSYNTHESIS,0.047429285,0.254997831
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.017641392,0.243963369
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.088742691,0.192091849
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.054497877,0.113238728
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0.020860644,0.049494461
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.06246031,0.186887968
KEGG_GLYCEROLIPID_METABOLISM,0.045181002,0.136604569
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.048064242,0.057741052
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.078414644,0.161055431
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.066953066,0.189751083
KEGG_ETHER_LIPID_METABOLISM,0.069453891,0.110264205
KEGG_ARACHIDONIC_ACID_METABOLISM,0.053223215,0.062697498
KEGG_LINOLEIC_ACID_METABOLISM,0.011019795,0.048609927
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.020540537,0.094803819
KEGG_SPHINGOLIPID_METABOLISM,0.119862314,0.193114261
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.03529268,0.103412038
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.033678461,0.118339452
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.072264234,0.163232035
KEGG_PYRUVATE_METABOLISM,0.037131366,0.028429613
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.054188017,0.096772098
KEGG_PROPANOATE_METABOLISM,-0.007965149,0.039401245
KEGG_BUTANOATE_METABOLISM,0.053119953,0.027970979
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.012384055,0.22857925
KEGG_RIBOFLAVIN_METABOLISM,0.071316917,0.058570851
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.013561689,0.111451758
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.017363852,0.090169727
KEGG_FOLATE_BIOSYNTHESIS,0.034042248,0.02726037
KEGG_RETINOL_METABOLISM,0.065624359,0.046029109
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,-0.035666123,0.077981867
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.04879734,0.075342442
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0.051272178,0.069437533
KEGG_NITROGEN_METABOLISM,-0.02167438,0.08869543
KEGG_SULFUR_METABOLISM,0.026185079,0.120063834
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,-0.010154113,0.317822086
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.011683649,-0.016836005
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.009285536,-0.020039446
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.059391439,0.104772618
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.069731002,0.064441508
KEGG_ABC_TRANSPORTERS,0.093038648,0.350710137
KEGG_RIBOSOME,0.088311067,-0.281644704
KEGG_RNA_DEGRADATION,-0.001159622,0.106498002
KEGG_RNA_POLYMERASE,0.029236453,0.013290234
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.036517857,0.097942442
KEGG_DNA_REPLICATION,0.041687823,0.052096193
KEGG_SPLICEOSOME,-0.021060427,0.174441112
KEGG_PROTEASOME,-0.031815856,0.079924166
KEGG_PROTEIN_EXPORT,0.039683591,0.26771598
KEGG_PPAR_SIGNALING_PATHWAY,-0.00083599,0.234798681
KEGG_BASE_EXCISION_REPAIR,0.050165261,0.106013195
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.000961025,0.049665415
KEGG_MISMATCH_REPAIR,0.037372708,0.062052784
KEGG_HOMOLOGOUS_RECOMBINATION,0.030812563,-0.005724218
KEGG_NON_HOMOLOGOUS_END_JOINING,0.043422819,0.067966985
KEGG_MAPK_SIGNALING_PATHWAY,-0.029680137,0.065970697
KEGG_ERBB_SIGNALING_PATHWAY,0.001043064,0.198576572
KEGG_CALCIUM_SIGNALING_PATHWAY,0.02491247,0.049012282
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.037199263,0.279961383
KEGG_CHEMOKINE_SIGNALING_PATHWAY,-0.046074568,0.187501305
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.023842099,-0.027571525
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.076536272,0.308795271
KEGG_CELL_CYCLE,0.035757398,0.221734685
KEGG_OOCYTE_MEIOSIS,0.154041868,0.290517996
KEGG_P53_SIGNALING_PATHWAY,0.002955609,0.251466592
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,-0.045845348,0.104296727
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.079552337,0.099630492
KEGG_REGULATION_OF_AUTOPHAGY,0.24209263,-0.061958589
KEGG_LYSOSOME,0.054666923,0.103581208
KEGG_ENDOCYTOSIS,0.010206788,0.335970818
KEGG_PEROXISOME,-0.053848736,-0.112702713
KEGG_MTOR_SIGNALING_PATHWAY,0.411057684,-0.071236867
KEGG_APOPTOSIS,0.008369171,0.1109364
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.074924949,0.073932593
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.035123147,-0.072585436
KEGG_WNT_SIGNALING_PATHWAY,-0.046481525,0.250929247
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.037977248,0.112224771
KEGG_NOTCH_SIGNALING_PATHWAY,0.062947494,0.125329056
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.07553659,0.158316326
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.018632565,0.005916523
KEGG_AXON_GUIDANCE,-0.017947012,0.029953592
KEGG_VEGF_SIGNALING_PATHWAY,0.01856819,0.124799495
KEGG_FOCAL_ADHESION,-0.000937263,0.306342261
KEGG_ECM_RECEPTOR_INTERACTION,0.083634858,0.194393229
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.076314342,0.212267797
KEGG_ADHERENS_JUNCTION,-0.01220295,0.174475686
KEGG_TIGHT_JUNCTION,-0.012971431,-0.08909011
KEGG_GAP_JUNCTION,0.050120853,-0.025806396
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.017686564,0.035955
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.07465136,0.282328277
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.028656288,0.038959336
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.038014654,0.092180599
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.053900139,0.043684298
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.018883215,0.151000205
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.055049408,0.190597543
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.005348768,0.405273119
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.059162354,0.175790755
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,-0.012048942,0.084334712
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,-0.042763441,0.121755196
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.020927334,0.173889738
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.023827002,0.092826309
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.027858652,0.001123935
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.025873874,-0.055407554
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.017714721,-0.038334798
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.036147397,0.088631437
KEGG_LONG_TERM_POTENTIATION,0.050743359,0.037787753
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.007143018,0.143220337
KEGG_LONG_TERM_DEPRESSION,0.050828951,0.301782433
KEGG_OLFACTORY_TRANSDUCTION,0.048329312,0.006514197
KEGG_TASTE_TRANSDUCTION,0.060064482,5.34E-05
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.150498354,-0.067629028
KEGG_INSULIN_SIGNALING_PATHWAY,0.158694979,0.006329378
KEGG_GNRH_SIGNALING_PATHWAY,0.02410922,-0.056118038
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.161315347,0.314892574
